timestamp,actual,sarima_forecast,naive_forecast
2024-06-28 00:00:00,4297.0,4489.552598232365,4648.0
2024-06-28 01:00:00,4446.0,4544.111769180788,4163.0
2024-06-28 02:00:00,4497.0,4656.592816942894,4101.0
2024-06-28 03:00:00,4753.0,4649.786455370788,4719.0
2024-06-28 04:00:00,4926.0,4424.836819307661,4229.0
2024-06-28 05:00:00,4435.0,4488.25539002597,4557.0
2024-06-28 06:00:00,3767.0,4464.337884828564,4480.0
2024-06-28 07:00:00,7015.0,7787.11391528533,7964.0
2024-06-28 08:00:00,7502.0,7761.336817544348,7213.0
2024-06-28 09:00:00,8183.0,7685.982374758625,7757.0
2024-06-28 10:00:00,3956.0,4548.0383838852595,4702.0
2024-06-28 11:00:00,4639.0,4456.698633868423,3918.0
2024-06-28 12:00:00,4242.0,4759.380056522086,4230.0
2024-06-28 13:00:00,3814.0,4423.119130805872,4332.0
2024-06-28 14:00:00,4276.0,4573.571470848096,4851.0
2024-06-28 15:00:00,4305.0,4506.502406205302,4704.0
2024-06-28 16:00:00,4177.0,4423.482323107482,3190.0
2024-06-28 17:00:00,7931.0,7661.985596247228,7850.0
2024-06-28 18:00:00,8539.5,7722.658070066554,7627.0
2024-06-28 19:00:00,7577.0,7431.1133623608675,6356.0
2024-06-28 20:00:00,7312.0,7756.375734173515,7783.0
2024-06-28 21:00:00,4616.0,4578.30635483234,4636.0
2024-06-28 22:00:00,4852.0,4555.868249303477,4147.0
2024-06-28 23:00:00,4511.0,4671.772416435072,4839.0
