timestamp,actual,sarima_forecast,naive_forecast
2024-06-28 00:00:00,3343.0,3631.336844479846,3359.0
2024-06-28 01:00:00,3585.0,3599.201312868341,3360.0
2024-06-28 02:00:00,3688.0,3694.9254337839575,3569.0
2024-06-28 03:00:00,3267.0,3606.7971926921286,3360.0
2024-06-28 04:00:00,3346.0,3630.7172653885827,3083.0
2024-06-28 05:00:00,3488.0,3654.638765314952,2953.0
2024-06-28 06:00:00,3405.0,3561.03195916775,3510.0
2024-06-28 07:00:00,5712.0,6094.670645291624,6133.0
2024-06-28 08:00:00,5424.0,5969.90812771709,5876.0
2024-06-28 09:00:00,6148.0,6025.145292212218,6268.0
2024-06-28 10:00:00,3304.0,3475.2728914823824,3519.0
2024-06-28 11:00:00,3612.0,3655.7555454584385,4177.0
2024-06-28 12:00:00,3508.0,3578.23210681621,3965.0
2024-06-28 13:00:00,3190.0,3577.449723264865,3426.0
2024-06-28 14:00:00,3566.0,3584.743420120738,3855.0
2024-06-28 15:00:00,3469.0,3516.346396753658,3558.0
2024-06-28 16:00:00,3223.0,3548.4327079922473,2127.0
2024-06-28 17:00:00,6507.0,6055.5151138238325,6524.0
2024-06-28 18:00:00,6436.0,6135.225561663957,6549.0
2024-06-28 19:00:00,6017.0,5986.062424645674,5425.0
2024-06-28 20:00:00,6218.0,6030.956042366144,6637.0
2024-06-28 21:00:00,3501.0,3579.8884359653866,3579.0
2024-06-28 22:00:00,4016.0,3465.1574602193136,3298.0
2024-06-28 23:00:00,3114.0,3522.9471168825175,3502.0
