timestamp,actual,sarima_forecast,naive_forecast
2024-06-28 00:00:00,4064.0,4020.0097737417414,4289.0
2024-06-28 01:00:00,4562.0,4171.997852480164,4077.0
2024-06-28 02:00:00,4203.0,4317.535722263519,4493.0
2024-06-28 03:00:00,4650.0,4193.891578075053,4361.0
2024-06-28 04:00:00,4389.0,3995.4114968371227,3841.0
2024-06-28 05:00:00,3881.0,4151.908398915634,3556.0
2024-06-28 06:00:00,4178.0,4162.662300422115,4331.0
2024-06-28 07:00:00,6369.0,7170.803807565829,7789.0
2024-06-28 08:00:00,6962.0,7096.159421903376,7217.0
2024-06-28 09:00:00,7783.0,7049.645086012642,7298.0
2024-06-28 10:00:00,3800.0,4024.537755316387,3453.0
2024-06-28 11:00:00,4006.0,4053.6701511293486,3918.0
2024-06-28 12:00:00,4178.0,4200.679622886805,4031.0
2024-06-28 13:00:00,4500.0,4124.421003390703,4393.0
2024-06-28 14:00:00,4210.0,4233.869947011478,4683.0
2024-06-28 15:00:00,3782.0,4204.370750778111,4803.0
2024-06-28 16:00:00,3784.0,4081.3844237010967,3443.0
2024-06-28 17:00:00,7505.0,7012.487720562713,7339.0
2024-06-28 18:00:00,6824.0,7163.36467686268,8180.0
2024-06-28 19:00:00,8441.0,7136.685906207499,6678.0
2024-06-28 20:00:00,7225.0,7012.915705073526,8159.0
2024-06-28 21:00:00,3974.0,4166.487482080292,4042.0
2024-06-28 22:00:00,3805.0,4148.12291932331,3855.0
2024-06-28 23:00:00,4583.0,4146.963639409329,3978.0
