timestamp,actual,sarima_forecast,naive_forecast
2024-06-28 00:00:00,5735.0,5595.747104670036,5721.0
2024-06-28 01:00:00,5459.0,5614.69643034401,5326.0
2024-06-28 02:00:00,5395.0,5493.878367044959,5848.0
2024-06-28 03:00:00,5982.0,5668.883259145644,6103.0
2024-06-28 04:00:00,5040.0,5447.612667243453,5300.0
2024-06-28 05:00:00,5466.0,5576.250169286325,5235.0
2024-06-28 06:00:00,5941.0,5510.075221790158,5652.0
2024-06-28 07:00:00,8216.0,8411.747919712243,8539.5
2024-06-28 08:00:00,8539.5,8503.707440649383,8539.5
2024-06-28 09:00:00,8539.5,8444.959444530909,8539.5
2024-06-28 10:00:00,4805.0,5417.7088036683035,4382.0
2024-06-28 11:00:00,6076.0,5606.707735782182,4890.0
2024-06-28 12:00:00,4957.0,5629.920678008749,5210.0
2024-06-28 13:00:00,5737.0,5581.379985648374,6062.0
2024-06-28 14:00:00,4869.0,5513.719126080128,5306.0
2024-06-28 15:00:00,5811.0,5522.918254029793,5888.0
2024-06-28 16:00:00,5065.0,5402.081266037683,4016.0
2024-06-28 17:00:00,8539.5,8276.343145246485,8539.5
2024-06-28 18:00:00,8539.5,8456.780038322726,8539.5
2024-06-28 19:00:00,8539.5,8482.413390482709,8150.0
2024-06-28 20:00:00,8539.5,8529.743565058125,8539.5
2024-06-28 21:00:00,5333.0,5561.237786321196,5459.0
2024-06-28 22:00:00,4941.0,5430.23705935735,4540.0
2024-06-28 23:00:00,5298.0,5294.554516643761,5791.0
