timestamp,actual,sarima_forecast,naive_forecast
2024-06-28 00:00:00,3920.0,4336.584573879736,3823.0
2024-06-28 01:00:00,3999.0,4372.658187264987,4243.0
2024-06-28 02:00:00,3734.0,4391.907020809042,4392.0
2024-06-28 03:00:00,4650.0,4362.00641357813,3898.0
2024-06-28 04:00:00,3845.0,4231.2710941954,4355.0
2024-06-28 05:00:00,3765.0,4286.255486899745,4236.0
2024-06-28 06:00:00,4378.0,4170.916468201499,3849.0
2024-06-28 07:00:00,6093.0,7039.360428517613,7056.0
2024-06-28 08:00:00,6680.0,6958.575878191148,6007.0
2024-06-28 09:00:00,7085.0,7043.040923571709,7466.0
2024-06-28 10:00:00,4325.0,4134.454962987139,4282.0
2024-06-28 11:00:00,4339.0,4110.627792555987,4042.0
2024-06-28 12:00:00,4452.0,4301.355015431081,4610.0
2024-06-28 13:00:00,4045.0,4180.147664116579,4393.0
2024-06-28 14:00:00,3886.0,4291.017225187049,3879.0
2024-06-28 15:00:00,3580.0,4231.646369288312,4263.0
2024-06-28 16:00:00,3899.0,4233.069301148453,2734.0
2024-06-28 17:00:00,7835.0,7004.505331923046,7865.0
2024-06-28 18:00:00,7899.0,7119.599155737132,7080.0
2024-06-28 19:00:00,6900.0,7095.794253990048,6246.0
2024-06-28 20:00:00,7436.0,7029.600093722289,7127.0
2024-06-28 21:00:00,3679.0,4217.641202991419,4196.0
2024-06-28 22:00:00,4022.0,4219.569218497124,4276.0
2024-06-28 23:00:00,3632.0,4237.991913630849,4249.0
