timestamp,actual,sarima_forecast,naive_forecast
2024-06-28 00:00:00,3975.0,3840.6526718800706,3794.0
2024-06-28 01:00:00,4772.0,3800.9727750826323,4114.0
2024-06-28 02:00:00,4338.0,3900.124153934765,3860.0
2024-06-28 03:00:00,3861.0,3981.608938685964,4813.0
2024-06-28 04:00:00,4062.0,3936.4223240528167,3911.0
2024-06-28 05:00:00,3500.0,3858.1439591213116,3896.0
2024-06-28 06:00:00,4342.0,3951.1252806235734,5037.0
2024-06-28 07:00:00,7024.0,6885.222413397792,7612.0
2024-06-28 08:00:00,7653.0,6896.4752493129845,6776.0
2024-06-28 09:00:00,7692.0,6963.5860234534375,7755.0
2024-06-28 10:00:00,4048.0,3948.777011897813,4737.0
2024-06-28 11:00:00,3620.0,4035.7447452670276,4793.0
2024-06-28 12:00:00,4163.0,4011.1719662688083,4711.0
2024-06-28 13:00:00,3621.0,4016.737558540151,4849.0
2024-06-28 14:00:00,4240.0,3900.391595113377,4494.0
2024-06-28 15:00:00,4063.0,4048.4006375770323,4479.0
2024-06-28 16:00:00,4058.0,3694.476082008211,2944.0
2024-06-28 17:00:00,7332.0,6847.9054837985705,7998.0
2024-06-28 18:00:00,7464.0,6884.96242846048,7225.0
2024-06-28 19:00:00,7286.0,6954.202952997287,7333.0
2024-06-28 20:00:00,7837.0,6671.168058377259,7133.0
2024-06-28 21:00:00,3887.0,3905.564878093083,4175.0
2024-06-28 22:00:00,4176.0,3824.7488377000614,3651.0
2024-06-28 23:00:00,4715.0,3812.2052772067846,3710.0
